filename,label,class_id,text,normalized_cx,normalized_cy,normalized_w,normalized_h,source_url,source_width,source_height
heading_8a681e376c.png,heading,8,Example Domain,0.5,0.162963,0.6,0.025926,https://example.com,1920,1080
text_841a655819.png,text,9,This domain is for use in documentation examples without needing permission. Avoid use in operations.,0.5,0.199167,0.6,0.016667,https://example.com,1920,1080
text_3c82d746c2.png,text,9,,0.5,0.230648,0.6,0.016667,https://example.com,1920,1080
link_78d987e1da.png,link,1,Learn more,0.221354,0.230648,0.042708,0.016667,https://example.com,1920,1080
form_18632d8479.png,form,13,,0.5,0.292222,0.991667,0.554815,https://httpbin.org/forms/post,1920,1080
text_e057b4bff7.png,text,9,,0.5,0.024537,0.991667,0.019444,https://httpbin.org/forms/post,1920,1080
text_65b0f5de90.png,text,9,Customer name:,0.072474,0.024074,0.136615,0.016667,https://httpbin.org/forms/post,1920,1080
input_text_7108a1df17.png,input_text,2,,0.100937,0.024537,0.079687,0.019444,https://httpbin.org/forms/post,1920,1080
text_16fe7ca791.png,text,9,,0.5,0.058796,0.991667,0.019444,https://httpbin.org/forms/post,1920,1080
text_0c51032355.png,text,9,Telephone:,0.063516,0.058333,0.118698,0.016667,https://httpbin.org/forms/post,1920,1080
input_text_e4ad9c0781.png,input_text,2,,0.083021,0.058796,0.079687,0.019444,https://httpbin.org/forms/post,1920,1080
text_5e4b5b5064.png,text,9,,0.5,0.093056,0.991667,0.019444,https://httpbin.org/forms/post,1920,1080
text_3b04faa415.png,text,9,E-mail address:,0.071094,0.092593,0.133854,0.016667,https://httpbin.org/forms/post,1920,1080
input_text_95915e413c.png,input_text,2,,0.098177,0.093056,0.079687,0.019444,https://httpbin.org/forms/post,1920,1080
text_aab7e4b632.png,text,9,,0.5,0.163519,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_35246fba7d.png,text,9,Small,0.028724,0.164444,0.032448,0.016667,https://httpbin.org/forms/post,1920,1080
input_radio_dc20e56328.png,input_radio,4,small,0.01849,0.163056,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_49620bd84a.png,text,9,,0.5,0.196852,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_77d21fef6c.png,text,9,Medium,0.033125,0.197778,0.04125,0.016667,https://httpbin.org/forms/post,1920,1080
input_radio_034fe99bba.png,input_radio,4,medium,0.01849,0.196389,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_bd3d674bc5.png,text,9,,0.5,0.230185,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_bd61bd06ce.png,text,9,Large,0.028646,0.231111,0.032292,0.016667,https://httpbin.org/forms/post,1920,1080
input_radio_2bdfd178b3.png,input_radio,4,large,0.01849,0.229722,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_0aab9e75a8.png,text,9,,0.5,0.311296,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_5ade3c201f.png,text,9,Bacon,0.029401,0.312222,0.033802,0.016667,https://httpbin.org/forms/post,1920,1080
input_checkbox_177fcc8c70.png,input_checkbox,3,bacon,0.017969,0.310833,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_011c70ee9e.png,text,9,,0.5,0.34463,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_0685d9efe0.png,text,9,Extra Cheese,0.040859,0.345556,0.056719,0.016667,https://httpbin.org/forms/post,1920,1080
input_checkbox_4931ad7d17.png,input_checkbox,3,cheese,0.017969,0.344167,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_43e2e6c912.png,text,9,,0.5,0.377963,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_595bcfa51d.png,text,9,Onion,0.029167,0.378889,0.033333,0.016667,https://httpbin.org/forms/post,1920,1080
input_checkbox_4f36c6f983.png,input_checkbox,3,onion,0.017969,0.3775,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_c06bdc2892.png,text,9,,0.5,0.411296,0.975,0.018519,https://httpbin.org/forms/post,1920,1080
text_a99c8b81cf.png,text,9,Mushroom,0.037031,0.412222,0.049063,0.016667,https://httpbin.org/forms/post,1920,1080
input_checkbox_6a2c5f4745.png,input_checkbox,3,mushroom,0.017969,0.410833,0.006771,0.012037,https://httpbin.org/forms/post,1920,1080
text_c3fcbfdd29.png,text,9,,0.5,0.472407,0.991667,0.022222,https://httpbin.org/forms/post,1920,1080
text_d678205bca.png,text,9,Preferred delivery time:,0.071823,0.471944,0.135313,0.016667,https://httpbin.org/forms/post,1920,1080
input_text_21df5654e0.png,input_text,2,,0.112656,0.472407,0.053646,0.022222,https://httpbin.org/forms/post,1920,1080
text_334943b185.png,text,9,,0.5,0.516852,0.991667,0.037037,https://httpbin.org/forms/post,1920,1080
text_3674e95259.png,text,9,Delivery instructions:,0.088568,0.527037,0.168802,0.016667,https://httpbin.org/forms/post,1920,1080
textarea_4d81c3be33.png,textarea,6,,0.125833,0.515,0.094271,0.033333,https://httpbin.org/forms/post,1920,1080
